Zeit;Kanal A
(ms);(V)

19,11323191;0,78334150
19,16313590;0,80204230
19,21303990;0,80204230
19,26294390;0,80204230
19,31284790;0,80204230
19,36275190;0,80204230
19,41265590;0,80204230
19,46255990;0,80204230
19,51246390;0,80204230
19,56236790;0,80204230
19,61227190;0,80204230
19,66217590;0,80204230
19,71207990;0,80204230
19,76198390;0,80204230
19,81188790;0,80204230
19,86179190;0,80204230
19,91169590;0,78334150
19,96159990;0,80204230
20,01150390;0,80204230
20,06140790;0,80204230
20,11131190;0,80204230
20,16121590;0,80204230
20,21111990;0,78334150
20,26102390;0,80204230
20,31092790;0,80204230
20,36083190;0,78334150
20,41073590;0,80204230
20,46063990;0,80204230
20,51054390;0,80204230
20,56044790;0,80204230
20,61035190;0,80204230
20,66025590;0,80204230
20,71015990;0,80204230
20,76006390;0,78334150
20,80996790;0,80204230
20,85987190;0,80204230
20,90977590;0,80204230
20,95967990;0,80204230
21,00958390;0,80204230
21,05948790;0,80204230
21,10939190;0,80204230
21,15929589;0,80204230
21,20919989;0,80204230
21,25910389;0,80204230
21,30900789;0,80204230
21,35891189;0,80204230
21,40881589;0,80204230
21,45871989;0,80204230
21,50862389;0,80204230
21,55852789;0,80204230
21,60843189;0,80204230
21,65833589;0,80204230
21,70823989;0,80204230
21,75814389;0,80204230
21,80804789;0,80204230
21,85795189;0,80204230
21,90785589;0,80204230
21,95775989;0,80204230
22,00766389;0,80204230
22,05756789;0,80204230
22,10747189;0,80204230
22,15737589;0,80204230
22,20727989;0,78334150
22,25718389;0,80204230
22,30708789;0,80204230
22,35699189;0,80204230
22,40689589;0,78334150
22,45679989;0,80204230
22,50670389;0,80204230
22,55660789;0,80204230
22,60651189;0,80204230
22,65641589;0,80204230
22,70631989;0,80204230
22,75622389;0,80204230
22,80612789;0,78334150
22,85603189;0,80204230
22,90593589;0,80204230
22,95583989;0,80204230
23,00574389;0,80204230
23,05564789;0,80204230
23,10555189;0,80204230
23,15545588;0,80204230
23,20535988;0,80204230
23,25526388;0,80204230
23,30516788;0,80204230
23,35507188;0,80204230
23,40497588;0,80204230
23,45487988;0,80204230
23,50478388;0,80204230
23,55468788;0,80204230
23,60459188;0,80204230
23,65449588;0,80204230
23,70439988;0,80204230
23,75430388;0,80204230
23,80420788;0,80204230
23,85411188;0,80204230
23,90401588;0,80204230
23,95391988;0,80204230
24,00382388;0,80204230
24,05372788;0,80204230
24,10363188;0,80204230
24,15353588;0,82068160
24,20343988;0,80204230
24,25334388;0,80204230
24,30324788;0,80204230
24,35315188;0,80204230
24,40305588;0,82068160
24,45295988;0,80204230
24,50286388;0,82068160
24,55276788;0,80204230
24,60267188;0,80204230
24,65257588;0,80204230
24,70247988;0,80204230
24,75238388;0,80204230
24,80228788;0,80204230
24,85219188;0,80204230
24,90209588;0,78334150
24,95199988;0,80204230
25,00190388;0,78334150
25,05180788;0,80204230
25,10171188;0,80204230
25,15161588;0,80204230
25,20151987;0,80204230
25,25142387;0,80204230
25,30132787;0,80204230
25,35123187;0,80204230
25,40113587;0,80204230
25,45103987;0,80204230
25,50094387;0,80204230
25,55084787;0,80204230
25,60075187;0,80204230
25,65065587;0,80204230
25,70055987;0,80204230
25,75046387;0,80204230
25,80036787;0,80204230
25,85027187;0,80204230
25,90017587;0,80204230
25,95007987;0,80204230
25,99998387;0,80204230
26,04988787;0,80204230
26,09979187;0,80204230
26,14969587;0,80204230
26,19959987;0,80204230
26,24950387;0,80204230
26,29940787;0,80204230
26,34931187;0,80204230
26,39921587;0,80204230
26,44911987;0,80204230
26,49902387;0,80204230
26,54892787;0,80204230
26,59883187;0,80204230
26,64873587;0,80204230
26,69863987;0,80204230
26,74854387;0,80204230
26,79844787;0,80204230
26,84835187;0,78334150
26,89825587;0,80204230
26,94815987;0,80204230
26,99806387;0,80204230
27,04796787;0,80204230
27,09787187;0,80204230
27,14777587;0,80204230
27,19767986;0,80204230
27,24758386;0,80204230
27,29748786;0,80204230
27,34739186;0,80204230
27,39729586;0,80204230
27,44719986;0,80204230
27,49710386;0,80204230
27,54700786;0,80204230
27,59691186;0,80204230
27,64681586;0,78334150
27,69671986;0,80204230
27,74662386;0,80204230
27,79652786;0,80204230
27,84643186;0,80204230
27,89633586;0,80204230
27,94623986;0,80204230
27,99614386;0,78334150
28,04604786;0,80204230
28,09595186;0,80204230
28,14585586;0,80204230
28,19575986;0,80204230
28,24566386;0,80204230
28,29556786;0,80204230
28,34547186;0,80204230
28,39537586;0,80204230
28,44527986;0,80204230
28,49518386;0,80204230
28,54508786;0,80204230
28,59499186;0,80204230
28,64489586;0,80204230
28,69479986;0,80204230
28,74470386;0,80204230
28,79460786;0,80204230
28,84451186;0,80204230
28,89441586;0,80204230
28,94431986;0,80204230
28,99422386;0,80204230
29,04412786;0,80204230
29,09403186;0,80204230
29,14393586;0,80204230
29,19383985;0,80204230
29,24374385;0,80204230
29,29364785;0,80204230
29,34355185;0,80204230
29,39345585;0,80204230
29,44335985;0,83932080
29,49326385;0,80204230
29,54316785;0,80204230
29,59307185;0,80204230
29,64297585;0,80204230
29,69287985;0,80204230
29,74278385;0,80204230
29,79268785;0,80204230
29,84259185;0,80204230
29,89249585;0,80204230
29,94239985;0,80204230
29,99230385;0,80204230
30,04220785;0,80204230
30,09211185;0,80204230
30,14201585;0,80204230
30,19191985;0,80204230
30,24182385;0,80204230
30,29172785;0,80204230
30,34163185;0,80204230
30,39153585;0,80204230
30,44143985;0,80204230
30,49134385;0,80204230
30,54124785;0,80204230
30,59115185;0,80204230
30,64105585;0,80204230
30,69095985;0,80204230
30,74086385;0,80204230
30,79076785;0,80204230
30,84067185;0,80204230
30,89057585;0,80204230
30,94047985;0,80204230
30,99038385;0,80204230
31,04028785;0,80204230
31,09019185;0,80204230
31,14009585;0,80204230
31,18999985;0,80204230
31,23990384;0,80204230
31,28980784;0,80204230
31,33971184;0,80204230
31,38961584;0,80204230
31,43951984;0,80204230
31,48942384;0,80204230
31,53932784;0,80204230
31,58923184;0,80204230
31,63913584;0,80204230
31,68903984;0,80204230
31,73894384;0,80204230
31,78884784;0,80204230
31,83875184;0,80204230
31,88865584;0,80204230
31,93855984;0,80204230
31,98846384;0,80204230
32,03836784;0,80204230
32,08827184;0,80204230
32,13817584;0,80204230
32,18807984;0,80204230
32,23798384;0,80204230
32,28788784;0,80204230
32,33779184;0,80204230
32,38769584;0,80204230
32,43759984;0,80204230
32,48750384;0,80204230
32,53740784;0,80204230
32,58731184;0,80204230
32,63721584;0,78334150
32,68711984;0,80204230
32,73702384;0,80204230
32,78692784;0,80204230
32,83683184;0,80204230
32,88673584;0,80204230
32,93663984;0,80204230
32,98654384;0,80204230
33,03644784;0,80204230
33,08635184;0,80204230
33,13625584;0,80204230
33,18615984;0,80204230
33,23606383;0,80204230
33,28596783;0,80204230
33,33587183;0,80204230
33,38577583;0,80204230
33,43567983;0,80204230
33,48558383;0,80204230
33,53548783;0,80204230
33,58539183;0,80204230
33,63529583;0,80204230
33,68519983;0,80204230
33,73510383;0,80204230
33,78500783;0,80204230
33,83491183;0,80204230
33,88481583;0,80204230
33,93471983;0,80204230
33,98462383;0,80204230
34,03452783;0,80204230
34,08443183;0,80204230
34,13433583;0,80204230
34,18423983;0,80204230
34,23414383;0,80204230
34,28404783;0,80204230
34,33395183;0,80204230
34,38385583;0,82068160
34,43375983;0,80204230
34,48366383;0,80204230
34,53356783;0,80204230
34,58347183;0,80204230
34,63337583;0,78334150
34,68327983;0,80204230
34,73318383;0,80204230
34,78308783;0,80204230
34,83299183;0,80204230
34,88289583;0,80204230
34,93279983;0,80204230
34,98270383;0,80204230
35,03260783;0,80204230
35,08251183;0,80204230
35,13241583;0,80204230
35,18231983;0,80204230
35,23222383;0,80204230
35,28212782;0,80204230
35,33203182;0,80204230
35,38193582;0,80204230
35,43183982;0,80204230
35,48174382;0,80204230
35,53164782;0,80204230
35,58155182;0,80204230
35,63145582;0,80204230
35,68135982;0,80204230
35,73126382;0,80204230
35,78116782;0,80204230
35,83107182;0,80204230
35,88097582;0,80204230
35,93087982;0,80204230
35,98078382;0,80204230
36,03068782;0,78334150
36,08059182;0,80204230
36,13049582;0,80204230
36,18039982;0,80204230
36,23030382;0,80204230
36,28020782;0,80204230
36,33011182;0,80204230
36,38001582;0,80204230
36,42991982;0,80204230
36,47982382;0,80204230
36,52972782;0,80204230
36,57963182;0,80204230
36,62953582;0,80204230
36,67943982;0,80204230
36,72934382;0,80204230
36,77924782;0,80204230
36,82915182;0,80204230
36,87905582;0,80204230
36,92895982;0,80204230
36,97886382;0,80204230
37,02876782;0,80204230
37,07867182;0,80204230
37,12857582;0,80204230
37,17847982;0,80204230
37,22838382;0,80204230
37,27828781;0,80204230
37,32819181;0,80204230
37,37809581;0,80204230
37,42799981;0,80204230
37,47790381;0,80204230
37,52780781;0,80204230
37,57771181;0,80204230
37,62761581;0,80204230
37,67751981;0,80204230
37,72742381;0,80204230
37,77732781;0,80204230
37,82723181;0,80204230
37,87713581;0,80204230
37,92703981;0,80204230
37,97694381;0,80204230
38,02684781;0,80204230
38,07675181;0,80204230
38,12665581;0,80204230
38,17655981;0,80204230
38,22646381;0,80204230
38,27636781;0,82068160
38,32627181;0,80204230
38,37617581;0,80204230
38,42607981;0,80204230
38,47598381;0,80204230
38,52588781;0,80204230
38,57579181;0,80204230
38,62569581;0,80204230
38,67559981;0,80204230
38,72550381;0,80204230
38,77540781;0,80204230
38,82531181;0,80204230
38,87521581;0,80204230
38,92511981;0,80204230
38,97502381;0,80204230
39,02492781;0,80204230
39,07483181;0,80204230
39,12473581;0,80204230
39,17463981;0,80204230
39,22454381;0,80204230
39,27444780;0,80204230
39,32435180;0,80204230
39,37425580;0,80204230
39,42415980;0,80204230
39,47406380;0,80204230
39,52396780;0,80204230
39,57387180;0,78334150
39,62377580;0,80204230
39,67367980;0,80204230
39,72358380;0,80204230
39,77348780;0,80204230
39,82339180;0,80204230
39,87329580;0,80204230
39,92319980;0,80204230
39,97310380;0,80204230
40,02300780;0,80204230
40,07291180;0,80204230
40,12281580;0,80204230
40,17271980;0,80204230
40,22262380;0,80204230
40,27252780;0,80204230
40,32243180;0,80204230
40,37233580;0,80204230
40,42223980;0,80204230
40,47214380;0,80204230
40,52204780;0,80204230
40,57195180;0,80204230
40,62185580;0,80204230
40,67175980;0,80204230
40,72166380;0,80204230
40,77156780;0,80204230
40,82147180;0,80204230
40,87137580;0,80204230
40,92127980;0,80204230
40,97118380;0,78334150
41,02108780;0,80204230
41,07099180;0,80204230
41,12089580;0,80204230
41,17079980;0,80204230
41,22070380;0,80204230
41,27060780;0,80204230
41,32051179;0,80204230
41,37041579;0,80204230
41,42031979;0,80204230
41,47022379;0,80204230
41,52012779;0,80204230
41,57003179;0,80204230
41,61993579;0,80204230
41,66983979;0,80204230
41,71974379;0,80204230
41,76964779;0,80204230
41,81955179;0,80204230
41,86945579;0,80204230
41,91935979;0,80204230
41,96926379;0,78334150
42,01916779;0,80204230
42,06907179;0,80204230
42,11897579;0,80204230
42,16887979;0,80204230
42,21878379;0,80204230
42,26868779;0,80204230
42,31859179;0,80204230
42,36849579;0,80204230
42,41839979;0,80204230
42,46830379;0,78334150
42,51820779;0,80204230
42,56811179;0,80204230
42,61801579;0,80204230
42,66791979;0,80204230
42,71782379;0,80204230
42,76772779;0,80204230
42,81763179;0,80204230
42,86753579;0,80204230
42,91743979;0,80204230
42,96734379;0,80204230
43,01724779;0,80204230
43,06715179;0,82068160
43,11705579;0,80204230
43,16695979;0,80204230
43,21686379;0,80204230
43,26676779;0,80204230
43,31667178;0,80204230
43,36657578;0,80204230
43,41647978;0,80204230
43,46638378;0,80204230
43,51628778;0,80204230
43,56619178;0,80204230
43,61609578;0,80204230
43,66599978;0,80204230
43,71590378;0,80204230
43,76580778;0,80204230
43,81571178;0,80204230
43,86561578;0,80204230
43,91551978;0,80204230
43,96542378;0,80204230
44,01532778;0,80204230
44,06523178;0,80204230
