Zeit (ms),Kanal A (mV)
-23.46833242,-3.91609200
-23.46333242,-5.40846400
-23.45833242,-4.10248500
-23.45333242,-4.47588600
-23.44833242,-4.84867100
-23.44333242,-4.84867100
-23.43833242,-5.22207200
-23.43333242,-4.84867100
-23.42833242,-5.40846400
-23.42333243,-5.40846400
-23.41833243,-5.96764200
-23.41333243,-6.15403500
-23.40833243,-6.90022100
-23.40333243,-8.20558500
-23.39833243,-7.46001400
-23.39333243,-8.57898500
-23.38833243,-8.57898500
-23.38333243,-10.07074000
-23.37833243,-9.32455600
-23.37333243,-10.44414000
-23.36833243,-9.13816400
-23.36333243,-10.63054000
-23.35833243,-9.51156400
-23.35333243,-9.88435100
-23.34833243,-8.76537800
-23.34333243,-9.69795700
-23.33833243,-9.13816400
-23.33333243,-8.39259300
-23.32833243,-7.64640700
-23.32333243,-7.83279900
-23.31833243,-6.15403500
-23.31333243,-6.71382900
-23.30833243,-6.52743600
-23.30333243,-5.59485700
-23.29833243,-5.03506400
-23.29333243,-3.91609200
-23.28833243,-5.59485700
-23.28333243,-4.66227800
-23.27833243,-3.35691400
-23.27333243,-4.66227800
-23.26833243,-4.28949300
-23.26333243,-4.10248500
-23.25833243,-4.28949300
-23.25333243,-4.66227800
-23.24833243,-4.47588600
-23.24333243,-4.47588600
-23.23833243,-5.03506400
-23.23333243,-4.47588600
-23.22833243,-3.91609200
-23.22333243,-4.10248500
-23.21833243,-3.54330700
-23.21333243,-3.91609200
-23.20833243,-3.35691400
-23.20333243,-3.17052100
-23.19833243,-2.61072800
-23.19333243,-2.61072800
-23.18833243,-2.98351400
-23.18333243,-3.72970000
-23.17833243,-2.61072800
-23.17333243,-2.23794300
-23.16833243,-2.05093500
-23.16333243,-3.91609200
-23.15833243,-3.72970000
-23.15333243,-4.66227800
-23.14833243,-2.79712100
-23.14333243,-4.47588600
-23.13833243,-3.54330700
-23.13333243,-4.84867100
-23.12833243,-4.10248500
-23.12333243,-3.91609200
-23.11833243,-3.35691400
-23.11333243,-5.40846400
-23.10833243,-4.10248500
-23.10333243,-4.84867100
-23.09833243,-3.72970000
-23.09333243,-4.47588600
-23.08833243,-3.72970000
-23.08333243,-4.10248500
-23.07833243,-2.23794300
-23.07333243,-3.17052100
-23.06833243,-2.61072800
-23.06333243,-3.54330700
-23.05833243,-2.61072800
-23.05333243,-2.98351400
-23.04833243,-2.79712100
-23.04333243,-2.79712100
-23.03833243,-1.67815000
-23.03333243,-3.17052100
-23.02833244,-2.98351400
-23.02333244,-2.61072800
-23.01833244,-2.98351400
-23.01333244,-4.10248500
-23.00833244,-3.54330700
-23.00333244,-4.47588600
-22.99833244,-4.10248500
-22.99333244,-4.10248500
-22.98833244,-2.42433500
-22.98333244,-4.28949300
-22.97833244,-4.10248500
-22.97333244,-3.17052100
-22.96833244,-3.17052100
-22.96333244,-3.72970000
-22.95833244,-1.86454200
-22.95333244,-2.61072800
-22.94833244,-2.05093500
-22.94333244,-1.30536400
-22.93833244,-0.74557080
-22.93333244,-0.74557080
-22.92833244,-0.37278540
-22.92333244,-0.18639270
-22.91833244,1.30536400
-22.91333244,-0.37278540
-22.90833244,2.05093500
-22.90333244,2.05093500
-22.89833244,3.54330700
-22.89333244,2.79712100
-22.88833244,2.61072800
-22.88333244,2.79712100
-22.87833244,3.91609200
-22.87333244,3.17052100
-22.86833244,3.54330700
-22.86333244,5.40846400
-22.85833244,5.03506400
-22.85333244,6.15403500
-22.84833244,6.34104300
-22.84333244,6.34104300
-22.83833244,7.46001400
-22.83333244,6.71382900
-22.82833244,8.39259300
-22.82333244,8.01919300
-22.81833244,8.76537800
-22.81333244,7.83279900
-22.80833244,9.32455600
-22.80333244,8.39259300
-22.79833244,8.76537800
-22.79333244,9.32455600
-22.78833244,8.39259300
-22.78333244,8.39259300
-22.77833244,9.51156400
-22.77333244,7.46001400
-22.76833244,8.01919300
-22.76333244,7.46001400
-22.75833244,7.64640700
-22.75333244,6.71382900
-22.74833244,7.64640700
-22.74333244,7.08661400
-22.73833244,7.08661400
-22.73333244,7.46001400
-22.72833244,6.90022100
-22.72333244,6.34104300
-22.71833244,5.96764200
-22.71333244,6.71382900
-22.70833244,5.78125000
-22.70333244,6.15403500
-22.69833244,5.40846400
-22.69333244,5.22207200
-22.68833244,5.40846400
-22.68333244,5.96764200
-22.67833244,4.66227800
-22.67333244,5.59485700
-22.66833244,5.22207200
-22.66333244,4.66227800
-22.65833244,4.28949300
-22.65333244,3.91609200
-22.64833244,3.91609200
-22.64333244,4.84867100
-22.63833244,3.72970000
-22.63333245,4.28949300
-22.62833245,4.28949300
-22.62333245,4.28949300
-22.61833245,4.28949300
-22.61333245,3.91609200
-22.60833245,4.84867100
-22.60333245,4.47588600
-22.59833245,4.28949300
-22.59333245,4.66227800
-22.58833245,4.66227800
-22.58333245,4.84867100
-22.57833245,3.91609200
-22.57333245,4.10248500
-22.56833245,4.28949300
-22.56333245,4.84867100
-22.55833245,4.10248500
-22.55333245,4.66227800
-22.54833245,4.66227800
-22.54333245,4.10248500
-22.53833245,3.72970000
-22.53333245,4.47588600
-22.52833245,3.72970000
-22.52333245,4.66227800
-22.51833245,5.78125000
-22.51333245,3.35691400
-22.50833245,4.84867100
-22.50333245,4.10248500
-22.49833245,4.66227800
-22.49333245,4.28949300
-22.48833245,4.10248500
-22.48333245,3.91609200
-22.47833245,3.91609200
-22.47333245,3.72970000
-22.46833245,4.47588600
-22.46333245,4.28949300
-22.45833245,4.28949300
-22.45333245,4.66227800
-22.44833245,4.84867100
-22.44333245,4.66227800
-22.43833245,5.22207200
-22.43333245,5.22207200
-22.42833245,4.10248500
-22.42333245,5.59485700
-22.41833245,5.22207200
-22.41333245,5.03506400
-22.40833245,4.84867100
-22.40333245,5.40846400
-22.39833245,5.78125000
-22.39333245,4.84867100
-22.38833245,4.84867100
-22.38333245,4.10248500
-22.37833245,2.98351400
-22.37333245,3.35691400
-22.36833245,1.86454200
-22.36333245,1.86454200
-22.35833245,0.93196360
-22.35333245,0.74557080
-22.34833245,0.00000000
-22.34333245,-0.37278540
-22.33833245,-0.74557080
-22.33333245,-1.30536400
-22.32833245,-2.23794300
-22.32333245,-2.05093500
-22.31833245,-1.67815000
-22.31333245,-2.42433500
-22.30833245,-2.05093500
-22.30333245,-2.23794300
-22.29833245,-1.30536400
-22.29333245,-1.30536400
-22.28833245,-0.93196360
-22.28333245,-1.30536400
-22.27833245,0.00000000
-22.27333245,-0.74557080
-22.26833245,0.00000000
-22.26333245,-1.49175700
-22.25833245,-1.49175700
-22.25333245,-1.86454200
-22.24833245,-1.86454200
-22.24333245,-2.23794300
-22.23833246,-2.98351400
